"Simulation" "Statistic" "Tool" "Value"
"242" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.875356748856963
"243" "RSEMsim" "spearmans" "Sailfish_cor" 0.873871423712493
"244" "RSEMsim" "spearmans" "eXpress_cor" 0.558728251130903
"245" "RSEMsim" "spearmans" "Kallisto_cor" 0.873114078787734
"246" "RSEMsim" "spearmans" "RSEM_cor" 0.869466148104726
"247" "RSEMsim" "spearmans" "Salmon_align_cor" 0.80175271766189
"248" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.8804101222948
"249" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.883767195341684
"250" "RSEMsim" "spearmans" "Sailfish_cor" 0.876109405552586
"251" "RSEMsim" "spearmans" "eXpress_cor" 0.554072791693866
"252" "RSEMsim" "spearmans" "Kallisto_cor" 0.881581966573041
"253" "RSEMsim" "spearmans" "RSEM_cor" 0.873031952354934
"254" "RSEMsim" "spearmans" "Salmon_align_cor" 0.806306384035427
"255" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.884098919922963
"256" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.890569830625341
"257" "RSEMsim" "spearmans" "Sailfish_cor" 0.881450661880342
"258" "RSEMsim" "spearmans" "eXpress_cor" 0.547126513474919
"259" "RSEMsim" "spearmans" "Kallisto_cor" 0.887161562602789
"260" "RSEMsim" "spearmans" "RSEM_cor" 0.861191082275225
"261" "RSEMsim" "spearmans" "Salmon_align_cor" 0.797547260795982
"262" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.873882267745368
"263" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.879349056066112
"264" "RSEMsim" "spearmans" "Sailfish_cor" 0.87229831900866
"265" "RSEMsim" "spearmans" "eXpress_cor" 0.548901850689887
"266" "RSEMsim" "spearmans" "Kallisto_cor" 0.878407477452121
"267" "RSEMsim" "spearmans" "RSEM_cor" 0.856811407879399
"268" "RSEMsim" "spearmans" "Salmon_align_cor" 0.788608956537064
"269" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.877628947973344
"270" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.881985009343231
"271" "RSEMsim" "spearmans" "Sailfish_cor" 0.872150092474629
"272" "RSEMsim" "spearmans" "eXpress_cor" 0.551950911797437
"273" "RSEMsim" "spearmans" "Kallisto_cor" 0.880296876801034
"274" "RSEMsim" "spearmans" "RSEM_cor" 0.856849368038228
"275" "RSEMsim" "spearmans" "Salmon_align_cor" 0.805499499271448
"276" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.88029724498449
"277" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.883167893210431
"278" "RSEMsim" "spearmans" "Sailfish_cor" 0.875708193476088
"279" "RSEMsim" "spearmans" "eXpress_cor" 0.551833720049468
"280" "RSEMsim" "spearmans" "Kallisto_cor" 0.881470879418999
"281" "RSEMsim" "spearmans" "RSEM_cor" 0.862010831888311
"282" "RSEMsim" "spearmans" "Salmon_align_cor" 0.797878141043402
"283" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.873469253698124
"284" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.879020366415549
"285" "RSEMsim" "spearmans" "Sailfish_cor" 0.86907780710796
"286" "RSEMsim" "spearmans" "eXpress_cor" 0.557683034315603
"287" "RSEMsim" "spearmans" "Kallisto_cor" 0.873993024780878
"288" "RSEMsim" "spearmans" "RSEM_cor" 0.876755949716793
"289" "RSEMsim" "spearmans" "Salmon_align_cor" 0.812808792087753
"290" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.890409464098772
"291" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.89554768337007
"292" "RSEMsim" "spearmans" "Sailfish_cor" 0.88614208887607
"293" "RSEMsim" "spearmans" "eXpress_cor" 0.563357299587336
"294" "RSEMsim" "spearmans" "Kallisto_cor" 0.891600605356905
"295" "RSEMsim" "spearmans" "RSEM_cor" 0.858231717457328
"296" "RSEMsim" "spearmans" "Salmon_align_cor" 0.797419033116937
"297" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.879127733839402
"298" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.882965882810391
"299" "RSEMsim" "spearmans" "Sailfish_cor" 0.875817040861517
"300" "RSEMsim" "spearmans" "eXpress_cor" 0.558469797265383
"301" "RSEMsim" "spearmans" "Kallisto_cor" 0.879738736991188
"302" "RSEMsim" "spearmans" "RSEM_cor" 0.871181173889979
"303" "RSEMsim" "spearmans" "Salmon_align_cor" 0.807688467604228
"304" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.887259744347317
"305" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.892201828200886
"306" "RSEMsim" "spearmans" "Sailfish_cor" 0.883705301292698
"307" "RSEMsim" "spearmans" "eXpress_cor" 0.568826371314358
"308" "RSEMsim" "spearmans" "Kallisto_cor" 0.889313580253949
"309" "RSEMsim" "spearmans" "RSEM_cor" 0.865613617975231
"310" "RSEMsim" "spearmans" "Salmon_align_cor" 0.796523764785752
"311" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.883138880863974
"312" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.887443700978772
"313" "RSEMsim" "spearmans" "Sailfish_cor" 0.88027740575369
"314" "RSEMsim" "spearmans" "eXpress_cor" 0.554212750283311
"315" "RSEMsim" "spearmans" "Kallisto_cor" 0.8839368707985
"316" "RSEMsim" "spearmans" "RSEM_cor" 0.868537938620977
"317" "RSEMsim" "spearmans" "Salmon_align_cor" 0.802298315678866
"318" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.893438383429581
"319" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.898536605993579
"320" "RSEMsim" "spearmans" "Sailfish_cor" 0.887365021755487
"321" "RSEMsim" "spearmans" "eXpress_cor" 0.557352673827117
"322" "RSEMsim" "spearmans" "Kallisto_cor" 0.895414770557749
"323" "RSEMsim" "spearmans" "RSEM_cor" 0.858313190868332
"324" "RSEMsim" "spearmans" "Salmon_align_cor" 0.793066193104337
"325" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.872672858345241
"326" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.878169542946666
"327" "RSEMsim" "spearmans" "Sailfish_cor" 0.869081277807849
"328" "RSEMsim" "spearmans" "eXpress_cor" 0.559312442772629
"329" "RSEMsim" "spearmans" "Kallisto_cor" 0.873981759496154
"330" "RSEMsim" "spearmans" "RSEM_cor" 0.857650891383449
"331" "RSEMsim" "spearmans" "Salmon_align_cor" 0.788866009874419
"332" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.874700975022017
"333" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.880303377634527
"334" "RSEMsim" "spearmans" "Sailfish_cor" 0.870991199093019
"335" "RSEMsim" "spearmans" "eXpress_cor" 0.547984270076939
"336" "RSEMsim" "spearmans" "Kallisto_cor" 0.875805510409588
"337" "RSEMsim" "spearmans" "RSEM_cor" 0.883167843542657
"338" "RSEMsim" "spearmans" "Salmon_align_cor" 0.810207434159097
"339" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.900159996360602
"340" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.905156877692025
"341" "RSEMsim" "spearmans" "Sailfish_cor" 0.895809350959161
"342" "RSEMsim" "spearmans" "eXpress_cor" 0.56833453752071
"343" "RSEMsim" "spearmans" "Kallisto_cor" 0.901559947450958
"344" "RSEMsim" "spearmans" "RSEM_cor" 0.87058127624381
"345" "RSEMsim" "spearmans" "Salmon_align_cor" 0.801444308132964
"346" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.885398748832316
"347" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.88928216441692
"348" "RSEMsim" "spearmans" "Sailfish_cor" 0.881278191562528
"349" "RSEMsim" "spearmans" "eXpress_cor" 0.559150992251631
"350" "RSEMsim" "spearmans" "Kallisto_cor" 0.886489048668404
"351" "RSEMsim" "spearmans" "RSEM_cor" 0.860625625848982
"352" "RSEMsim" "spearmans" "Salmon_align_cor" 0.804294515292012
"353" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.868069445352408
"354" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.874091663980142
"355" "RSEMsim" "spearmans" "Sailfish_cor" 0.864278812199666
"356" "RSEMsim" "spearmans" "eXpress_cor" 0.571106990051162
"357" "RSEMsim" "spearmans" "Kallisto_cor" 0.868853900234287
"358" "RSEMsim" "spearmans" "RSEM_cor" 0.889991955189886
"359" "RSEMsim" "spearmans" "Salmon_align_cor" 0.831853408710437
"360" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.902701492938271
"361" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.906069281437369
"362" "RSEMsim" "spearmans" "Sailfish_cor" 0.895021185245782
"363" "RSEMsim" "spearmans" "eXpress_cor" 0.590888183072214
"364" "RSEMsim" "spearmans" "Kallisto_cor" 0.905603547733712
"365" "RSEMsim" "spearmans" "RSEM_cor" 0.873177277640947
"366" "RSEMsim" "spearmans" "Salmon_align_cor" 0.810742352065427
"367" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.887784641282492
"368" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.890178036015409
"369" "RSEMsim" "spearmans" "Sailfish_cor" 0.885494615096687
"370" "RSEMsim" "spearmans" "eXpress_cor" 0.560976962759666
"371" "RSEMsim" "spearmans" "Kallisto_cor" 0.890322911255113
"372" "RSEMsim" "spearmans" "RSEM_cor" 0.864806549250972
"373" "RSEMsim" "spearmans" "Salmon_align_cor" 0.802125012820072
"374" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.887131545253485
"375" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.891593419934015
"376" "RSEMsim" "spearmans" "Sailfish_cor" 0.883218141139764
