"Simulation" "Statistic" "Tool" "Value" "ID"
"311" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 15.9 "all"
"312" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 15.8 "all"
"313" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.8 "all"
"314" "RSEMsim" "nrmse" "eXpress_nmrse" 45.7 "all"
"315" "RSEMsim" "nrmse" "Kallisto_nmrse" 15.8 "all"
"316" "RSEMsim" "nrmse" "RSEM_nmrse" 19.7 "all"
"317" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28.2 "all"
"318" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.6 "all"
"319" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.2 "all"
"320" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.7 "all"
"321" "RSEMsim" "nrmse" "eXpress_nmrse" 39.9 "all"
"322" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.6 "all"
"323" "RSEMsim" "nrmse" "RSEM_nmrse" 21.4 "all"
"324" "RSEMsim" "nrmse" "Salmon_align_nmrse" 29.3 "all"
"325" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.5 "all"
"326" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.7 "all"
"327" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.6 "all"
"328" "RSEMsim" "nrmse" "eXpress_nmrse" 47.4 "all"
"329" "RSEMsim" "nrmse" "Kallisto_nmrse" 17.3 "all"
"330" "RSEMsim" "nrmse" "RSEM_nmrse" 19.4 "all"
"331" "RSEMsim" "nrmse" "Salmon_align_nmrse" 29 "all"
"332" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.5 "all"
"333" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.4 "all"
"334" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.5 "all"
"335" "RSEMsim" "nrmse" "eXpress_nmrse" 46.8 "all"
"336" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.7 "all"
"337" "RSEMsim" "nrmse" "RSEM_nmrse" 19.4 "all"
"338" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28.5 "all"
"339" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.4 "all"
"340" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17.3 "all"
"341" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.1 "all"
"342" "RSEMsim" "nrmse" "eXpress_nmrse" 36.8 "all"
"343" "RSEMsim" "nrmse" "Kallisto_nmrse" 17.4 "all"
"344" "RSEMsim" "nrmse" "RSEM_nmrse" 19.4 "all"
"345" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.3 "all"
"346" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.3 "all"
"347" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 15.6 "all"
"348" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.8 "all"
"349" "RSEMsim" "nrmse" "eXpress_nmrse" 43 "all"
"350" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.1 "all"
"351" "RSEMsim" "nrmse" "RSEM_nmrse" 20.1 "all"
"352" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.2 "all"
"353" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 18.4 "all"
"354" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17.9 "all"
"355" "RSEMsim" "nrmse" "Sailfish_nmrse" 19.6 "all"
"356" "RSEMsim" "nrmse" "eXpress_nmrse" 40.6 "all"
"357" "RSEMsim" "nrmse" "Kallisto_nmrse" 18.5 "all"
"358" "RSEMsim" "nrmse" "RSEM_nmrse" 20.1 "all"
